Simulation,Random_Cash,Momentum_Cash,Fundamental_Cash,RiskAverse_Cash,LLMTrader_Cash,Random_Inventory,Momentum_Inventory,Fundamental_Inventory,RiskAverse_Inventory,LLMTrader_Inventory,Random_PnL,Momentum_PnL,Fundamental_PnL,RiskAverse_PnL,LLMTrader_PnL
1,593.992053690746,4,8.974390862421615,1023.1170178192068,0,23.117017819206808,227.96345484516397,8,57.92812918851496,995.6674737891019,0,-4.332526210898095,1000.9147106386591,0,0.9147106386591304
2,1001.2298076830375,396.1637613891156,0.24482160539845665,1000.1426186203973,679.5910963235754,0,6,10,0,3,1.2298076830375066,-15.05871164767143,-18.459300122579975,0.14261862039734297,-26.02014019481817
3,595.3435797908666,391.5580056772153,1059.2432974025417,995.4118662207476,885.1507362059612,4,6,0,0,1,13.165206613817304,18.290445911641427,59.24329740254166,-4.588133779252416,-10.39385708830116
4,802.6693447048674,60.50322289189606,1045.6992864348158,1050.2426621446107,436.8412828929106,2,9,0,0,6,21.06342192731495,43.276570392910116,45.699286434815804,50.24266214461068,92.02351456025326
5,952.6535058311321,883.1354778882863,0.11224728102789072,994.4628357260684,964.9830188565145,0,1,10,0,0,-47.346494168867935,-23.777421949579775,-69.01675109763391,-5.53716427393158,-35.01698114348551
6,16.988290767325054,834.1079894177295,1051.0706918710823,1038.1883190616318,1037.5272850022802,9,2,0,0,0,-29.622339689341743,45.97229376069254,51.07069187108232,38.18831906163177,37.52728500228022
7,981.112281050391,610.4310766563622,14.588864911175747,994.6777928177964,597.8298997764074,0,4,10,0,4,-18.887718949609052,8.016645478043756,8.55278696537971,-5.322207182203556,-4.584531401911022
8,689.6739313975003,69.91560033850479,83.95679547000991,693.0931704136564,275.41910873421875,3,9,9,3,7,0.5138362236937155,2.4353148170849863,16.476509948590092,3.9330752398498134,0.7122199953366817
9,501.7986421883317,414.9492861922121,28.551813451759315,889.665875167309,376.2674138681356,5,6,10,1,6,8.802411477613646,23.35380933935039,42.559352030323225,-8.933370974834588,-15.328062984726103
10,1023.4162078743942,716.5568763182872,534.7182407317995,1003.766607292387,616.3335203622447,0,3,5,0,4,23.416207874394217,35.303343697744594,65.9623530308952,3.7666072923869933,41.328810201521264
11,907.0555506082452,67.54414753498214,1041.8641624922573,6.6251195511351995,53.592561346374936,1,9,0,9,9,18.53226617830478,70.83458766551826,41.864162492257265,9.915559681671198,56.88300147691098
12,572.2553988535777,709.1284192813629,848.8806657346418,904.9571522545958,179.60207102457855,4,3,2,1,8,-7.674714713698677,24.180834105905433,58.915608951003605,9.974623862776753,19.741843890025734
13,593.8073934634763,679.7403675892002,85.20445715709205,897.2872318194759,578.785923294637,4,3,9,1,4,-10.358965305892866,-23.384401487826608,-24.169850073988528,-3.7543578728664215,-25.380435474732167
14,884.0005866943254,21.132127252440952,91.58864808391708,705.9521367085773,32.98728588383419,1,10,9,3,10,-18.85666953087241,-7.440434999537274,-34.12665794286329,-2.6196319670161756,4.4147236318559635
15,816.6482918534913,474.86216837115535,81.77488222787122,991.9715790757818,459.5940726480904,2,5,9,0,5,16.42750200385217,-25.689806252942617,-19.2186720955051,-8.028420924218153,-40.95790197600763
16,184.17010297759794,495.67596686535114,870.6209851132064,800.1792218254193,379.2757154632212,8,5,2,2,6,26.016985321177117,21.830268330088188,81.0827056991011,10.640942411314086,10.660877220905604
17,65.4485844171478,581.1875639598676,2.9946712252407366,712.7990768666059,100.74627132061894,9,4,10,3,9,-23.128126588978716,-13.735418709522037,15.687214551766829,16.606839864563653,12.1695603144924
18,1011.6549123520949,12.824805261718552,0.6389617488566444,795.0407688730994,77.27009213819328,0,10,10,2,9,11.654912352094925,46.48316711859525,34.297323605733254,1.7724412444747486,7.562617809382118
19,786.3412911866176,279.1557050667129,23.67241076111854,995.7540544360759,159.55430310995496,2,7,10,0,8,-4.900074359872974,9.810925653995923,67.4655830286656,-4.245945563924124,-5.4111590760073796
20,813.77697061298,692.2627752386574,0.026292651723466065,991.1199163526364,585.7885579754751,2,3,10,0,4,-5.43156558623059,-36.55002906015852,-96.01638834432947,-8.880083647363563,-52.62851442294607
21,684.5156686351426,82.58496555643312,93.38157633223807,992.4515918952957,274.2714658656418,3,9,9,0,7,-9.727010533734301,-0.14307195019750907,10.653538825607484,-7.548408104704322,-12.29478552840419
22,795.8049970393674,390.1128550640365,1042.4630397513233,161.60885584247256,67.75624502717272,2,6,0,8,9,7.178290142092806,24.23273437221269,42.46303975132332,7.102028253374101,18.936063989437116
23,1013.3921810444929,1033.476281217878,734.8035949768484,998.8088664477792,1002.3523489756564,0,0,3,0,0,13.392181044492872,33.47628121787807,45.01982129964426,-1.1911335522207764,2.352348975656355
24,55.50392747132166,375.3848659916116,243.85679517391753,583.1963053748599,187.72293123008774,9,6,8,4,8,6.29287862209253,9.24416675879229,89.00252953015843,5.769172552980308,32.86866558632846
25,807.0473896951848,293.39259543056,0.6542950013493254,788.6944674943489,471.50655913585723,2,7,10,2,5,3.1626388417556655,-20.204032556442144,-18.76945926579674,-15.19028335908024,-38.20531799771584
26,597.533343839907,191.62223537315458,189.63961721975062,900.3666337812837,76.37488121368392,4,8,8,1,9,18.998603538800126,34.55275477094074,32.570136617536946,5.732948706006937,24.67171553619346
27,595.2062314916893,901.234010673141,101.92672129980632,998.0635807764461,1012.2129493336614,4,1,9,0,0,10.893150517302502,5.155740429544267,37.22228910743593,-1.9364192235539122,12.212949333661413
